종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시장
TS인베스트먼트,246690,1527,,29.96,12350164.0,18858700428.0,KOSDAQ
LG전자,066570,293000,,29.93,22610153.0,6317885726000.0,KOSPI
오브젠,417860,9030,,29.93,308147.0,2782567410.0,KOSDAQ
LG씨엔에스,064400,113800,,29.91,21796080.0,2361770650800.0,KOSPI
누리플랜,069140,2155,,29.9,278404.0,599960620.0,KOSDAQ
플리토,300080,10950,,29.89,532133.0,5653226250.0,KOSDAQ
LG이노텍,011070,1474000,,28.57,2798211.0,3898354264000.0,KOSPI
LG,003550,144800,,26.6,10564392.0,1506942612200.0,KOSPI
솔루스첨단소재,336370,11570,,25.7,4893777.0,55899222300.0,KOSPI
현대오토에버,307950,917000,,24.8,2337368.0,2080599396000.0,KOSPI
NHN,181710,53700,,22.5,1737730.0,87662219700.0,KOSPI
로보스타,090360,93900,,20.98,4136029.0,378465726000.0,KOSDAQ
본느,226340,2560,,20.47,1228267.0,3144363520.0,KOSDAQ
포바이포,389140,8370,,20.43,5378595.0,45018840150.0,KOSDAQ
삼성에스디에스,018260,308500,,20.32,7566090.0,2231586332000.0,KOSPI
두산,000150,1972000,,18.8,231205.0,455936260000.0,KOSPI
아센디오,012170,1572,,18.46,6801537.0,10692016164.0,KOSPI
씨이랩,189330,10730,,18.04,3429753.0,36801249690.0,KOSDAQ
1Q K소버린AI,0103T0,11450,,17.98,1133306.0,12976353700.0,KOSPI
나무기술,242040,8780,,17.22,16470136.0,144607794080.0,KOSDAQ
