종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시장
SK하이닉스,000660,2340000,,1.92,10358292.0,24209127556000.0,KOSPI
삼성전자,005930,317500,,5.84,55558032.0,17506360936000.0,KOSPI
삼성전기,009150,2128000,,15.04,4787635.0,10034599795000.0,KOSPI
LG전자,066570,293000,,29.93,22610153.0,6317885726000.0,KOSPI
현대차,005380,726000,,6.79,6074262.0,4373279191000.0,KOSPI
LG이노텍,011070,1474000,,28.57,2798211.0,3898354264000.0,KOSPI
NAVER,035420,238000,,14.15,15600601.0,3637468238000.0,KOSPI
현대모비스,012330,771000,,11.95,3653971.0,2774085944000.0,KOSPI
LG씨엔에스,064400,113800,,29.91,21796080.0,2361770650800.0,KOSPI
삼성에스디에스,018260,308500,,20.32,7566090.0,2231586332000.0,KOSPI
삼성SDI,006400,687000,,1.78,3163900.0,2170226360000.0,KOSPI
현대오토에버,307950,917000,,24.8,2337368.0,2080599396000.0,KOSPI
SK스퀘어,402340,1245000,,-0.32,1621652.0,2005062831000.0,KOSPI
LG,003550,144800,,26.6,10564392.0,1506942612200.0,KOSPI
LG에너지솔루션,373220,457000,,3.62,2303421.0,1045342616000.0,KOSPI
LG디스플레이,034220,16090,,11.58,58600337.0,942879422330.0,KOSPI
삼화콘덴서,001820,149100,,-4.55,6239545.0,930316159500.0,KOSPI
두산에너빌리티,034020,106500,,-0.28,7523380.0,792665876800.0,KOSPI
한미반도체,042700,284500,,-3.59,2528210.0,718172524000.0,KOSPI
LS ELECTRIC,010120,243000,,-2.03,2864865.0,690262214000.0,KOSPI
