종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시장
에코프로비엠,247540,217000,,-0.69,1276544,277010048000.0,KOSDAQ
알테오젠,196170,369000,,-0.14,524776,193642344000.0,KOSDAQ
에코프로,086520,139000,,-3.94,1977504,274873056000.0,KOSDAQ
레인보우로보틱스,277810,702000,,0.29,164442,115438284000.0,KOSDAQ
주성엔지니어링,036930,200000,,-3.85,2399372,479874400000.0,KOSDAQ
코오롱티슈진,950160,98900,,-4.54,709978,70216824200.0,KOSDAQ
삼천당제약,000250,339000,,0.3,266642,90391638000.0,KOSDAQ
리노공업,058470,97400,,-1.72,1045231,101805499400.0,KOSDAQ
펩트론,087010,301000,,-5.94,340118,102375518000.0,KOSDAQ
HLB,028300,50800,,0.59,1578915,80208882000.0,KOSDAQ
에이비엘바이오,298380,111900,,-2.27,355097,39735354300.0,KOSDAQ
이오테크닉스,039030,458000,,-5.47,159713,73148554000.0,KOSDAQ
파두,440110,112100,,0.63,2131323,238921308300.0,KOSDAQ
리가켐바이오,141080,151100,,-2.52,273960,41395356000.0,KOSDAQ
보로노이,310210,287000,,-0.35,125393,35987791000.0,KOSDAQ
원익IPS,240810,106000,,-2.12,715947,75890382000.0,KOSDAQ
서진시스템,178320,77600,,-3.96,3105502,240986955200.0,KOSDAQ
로보티즈,108490,325500,,11.28,396842,129172071000.0,KOSDAQ
케어젠,214370,88400,,-1.12,102168,9031651200.0,KOSDAQ
현대무벡스,319400,39750,,6.14,4076150,162026962500.0,KOSDAQ
심텍,222800,118100,,1.64,873955,103214085500.0,KOSDAQ
ISC,095340,202500,,-4.93,277306,56154465000.0,KOSDAQ
디앤디파마텍,347850,94600,,-12.0,3251016,307546113600.0,KOSDAQ
HPSP,403870,48650,,-4.42,2761720,134357678000.0,KOSDAQ
올릭스,226950,175100,,-2.78,477552,83619355200.0,KOSDAQ
대한광통신,010170,22700,,-2.37,18438881,418562598700.0,KOSDAQ
제주반도체,080220,97800,,-10.85,3165031,309540031800.0,KOSDAQ
파마리서치,214450,295000,,-0.67,60262,17777290000.0,KOSDAQ
휴젤,145020,248500,,-2.17,48681,12097228500.0,KOSDAQ
두산테스나,131970,157300,,2.21,528922,83199430600.0,KOSDAQ
솔브레인,357780,382500,,-5.44,66656,25495920000.0,KOSDAQ
티씨케이,064760,265000,,-3.46,123602,32754530000.0,KOSDAQ
클래시스,214150,44750,,-2.82,347532,15552057000.0,KOSDAQ
피에스케이,319660,98500,,-5.29,556239,54789541500.0,KOSDAQ
유진테크,084370,124000,,-4.39,233655,28973220000.0,KOSDAQ
펄어비스,263750,43650,,-0.57,571648,24952435200.0,KOSDAQ
에스티팜,237690,134100,,-0.96,148327,19890650700.0,KOSDAQ
동진쎄미켐,005290,54700,,-5.2,746945,40857891500.0,KOSDAQ
하나마이크론,067310,40450,,-7.01,1603198,64849359100.0,KOSDAQ
우리기술,032820,15210,,-2.12,4407901,67044174210.0,KOSDAQ
미래에셋벤처투자,100790,49000,,-8.07,1925529,94350921000.0,KOSDAQ
에스피지,058610,116600,,0.17,525108,61227592800.0,KOSDAQ
RFHIC,218410,90100,,-3.22,754270,67959727000.0,KOSDAQ
대주전자재료,078600,153100,,-0.26,346464,53043638400.0,KOSDAQ
비츠로셀,082920,52600,,-0.38,385962,20301601200.0,KOSDAQ
실리콘투,257720,36150,,-2.43,545115,19705907250.0,KOSDAQ
성호전자,043260,33400,,-8.62,2059622,68791374800.0,KOSDAQ
고영,098460,34300,,-3.38,1604913,55048515900.0,KOSDAQ
테스,095610,119100,,-2.62,375229,44689773900.0,KOSDAQ
피에스케이홀딩스,031980,106600,,-4.99,264985,28247401000.0,KOSDAQ
비에이치아이,083650,72900,,-1.35,503771,36724905900.0,KOSDAQ
에임드바이오,0009K0,34400,,-5.75,181678,6249723200.0,KOSDAQ
티에스이,131290,199900,,-2.49,129195,25826080500.0,KOSDAQ
셀트리온제약,068760,47700,,-0.83,122224,5830084800.0,KOSDAQ
원익홀딩스,030530,27150,,-4.57,1493706,40554117900.0,KOSDAQ
JYP Ent.,035900,57700,,-0.17,203850,11762145000.0,KOSDAQ
엘앤씨바이오,290650,75800,,-0.13,452125,34271075000.0,KOSDAQ
메지온,140410,65500,,-5.21,223408,14633224000.0,KOSDAQ
스피어,347700,38950,,-7.15,1171422,45626886900.0,KOSDAQ
네이처셀,007390,30400,,-5.88,1304503,39656891200.0,KOSDAQ
파크시스템스,140860,275500,,-2.65,37246,10261273000.0,KOSDAQ
테크윙,089030,49850,,-2.83,808578,40307613300.0,KOSDAQ
에스엠,041510,79700,,-1.85,270953,21594954100.0,KOSDAQ
기가비스,420770,141400,,8.19,179630,25399682000.0,KOSDAQ
알지노믹스,476830,126100,,-4.11,251377,31698639700.0,KOSDAQ
태성,323280,57300,,-3.05,344530,19741569000.0,KOSDAQ
LS마린솔루션,060370,32800,,-1.5,262876,8622332800.0,KOSDAQ
삼현,437730,51100,,-4.31,514300,26280730000.0,KOSDAQ
오스코텍,039200,42050,,0.36,227838,9580587900.0,KOSDAQ
씨젠,096530,30400,,-0.65,360861,10970174400.0,KOSDAQ
에스에이엠티,031330,15650,,-4.11,1184582,18538708300.0,KOSDAQ
큐리옥스바이오시스템즈,445680,90400,,-2.48,381307,34470152800.0,KOSDAQ
에이프릴바이오,397030,63800,,-8.86,439563,28044119400.0,KOSDAQ
아주IB투자,027360,12090,,-11.36,8256248,99818038320.0,KOSDAQ
쎄트렉아이,099320,133700,,-4.43,173351,23177028700.0,KOSDAQ
브이엠,089970,58900,,-3.76,520487,30656684300.0,KOSDAQ
오름테라퓨틱,475830,67800,,-3.14,253481,17186011800.0,KOSDAQ
LS머트리얼즈,417200,21350,,-4.69,2373585,50676039750.0,KOSDAQ
제이에스링크,127120,41450,,2.09,160842,6666900900.0,KOSDAQ
인텔리안테크,189300,133100,,-11.27,360648,48002248800.0,KOSDAQ
케이엠더블유,032500,33350,,6.89,1208545,40304975750.0,KOSDAQ
에스앤에스텍,101490,65800,,-3.52,370190,24358502000.0,KOSDAQ
SFA반도체,036540,8320,,-7.56,7232722,60176247040.0,KOSDAQ
삼표시멘트,038500,12360,,1.81,1442646,17831104560.0,KOSDAQ
와이씨,232140,16170,,-5.66,852061,13777826370.0,KOSDAQ
에이치브이엠,295310,109800,,-3.94,189754,20834989200.0,KOSDAQ
세미파이브,490470,38500,,-3.14,1125112,43316812000.0,KOSDAQ
리브스메드,491000,51900,,-8.47,423049,21956243100.0,KOSDAQ
HK이노엔,195940,45000,,-0.44,206608,9297360000.0,KOSDAQ
하나머티리얼즈,166090,64000,,-7.78,512824,32820736000.0,KOSDAQ
하림지주,003380,11280,,-0.44,979245,11045883600.0,KOSDAQ
차바이오텍,085660,13470,,-0.74,379834,5116363980.0,KOSDAQ
휴림로봇,090710,10440,,-2.34,4084055,42637534200.0,KOSDAQ
루닛,328130,16760,,0.6,595044,9972937440.0,KOSDAQ
제이앤티씨,204270,21150,,-4.73,478187,10113655050.0,KOSDAQ
신성델타테크,065350,44400,,-0.67,211519,9391443600.0,KOSDAQ
레이크머티리얼즈,281740,18390,,-3.67,578129,10631792310.0,KOSDAQ
씨어스,458870,31750,,0.79,493532,15669641000.0,KOSDAQ
코스모로보틱스,439960,37100,,-10.17,2568798,95302405800.0,KOSDAQ
클로봇,466100,44000,,5.39,446191,19632404000.0,KOSDAQ
현대바이오,048410,11570,,-12.02,3493947,40424966790.0,KOSDAQ
티엘비,356860,112800,,-6.55,241437,27234093600.0,KOSDAQ
피엔티,137400,46450,,-1.59,178167,8275857150.0,KOSDAQ
비나텍,126340,149000,,-2.04,136742,20374558000.0,KOSDAQ
큐리언트,115180,27650,,-7.37,137619,3805165350.0,KOSDAQ
씨엠티엑스,388210,106200,,-0.93,127041,13491754200.0,KOSDAQ
솔브레인홀딩스,036830,49700,,-1.58,90822,4513853400.0,KOSDAQ
아이티센글로벌,124500,43850,,-4.36,255534,11205165900.0,KOSDAQ
필옵틱스,161580,43250,,-6.18,426945,18465371250.0,KOSDAQ
유일로보틱스,388720,84800,,-1.4,64640,5481472000.0,KOSDAQ
에스티큐브,052020,14590,,-2.67,284713,4153962670.0,KOSDAQ
GST,083450,53800,,-2.0,461560,24831928000.0,KOSDAQ
쏠리드,050890,16000,,0.82,3097246,49555936000.0,KOSDAQ
덕산네오룩스,213420,38850,,-3.0,264946,10293152100.0,KOSDAQ
지투지바이오,456160,58200,,-7.32,250061,14553550200.0,KOSDAQ
에스에프에이,056190,26700,,-2.55,178738,4772304600.0,KOSDAQ
제룡전기,033100,59000,,-2.32,246007,14514413000.0,KOSDAQ
코미코,183300,90000,,-3.95,249535,22458150000.0,KOSDAQ
씨아이에스,222080,12060,,-2.51,1311769,15819934140.0,KOSDAQ
지아이이노베이션,358570,14480,,-8.93,1198436,17353353280.0,KOSDAQ
하이젠알앤엠,160190,29700,,-7.62,302606,8987398200.0,KOSDAQ
로보스타,090360,94000,,20.98,1791029,168356726000.0,KOSDAQ
동국제약,086450,19670,,-2.38,327614,6444167380.0,KOSDAQ
로킷헬스케어,376900,54800,,2.05,306708,16807598400.0,KOSDAQ
CJ ENM,035760,39550,,0.76,125601,4967519550.0,KOSDAQ
온코닉테라퓨틱스,476060,19050,,0.16,388993,7410316650.0,KOSDAQ
원익QnC,074600,32900,,-4.22,418501,13768682900.0,KOSDAQ
피노,033790,10500,,-3.58,1761770,18498585000.0,KOSDAQ
카카오게임즈,293490,9500,,0.21,325883,3095888500.0,KOSDAQ
와이지엔터테인먼트,122870,44600,,-2.51,179754,8017028400.0,KOSDAQ
노타,486990,38500,,11.27,4922020,189497770000.0,KOSDAQ
동운아나텍,094170,39250,,-1.87,112242,4405498500.0,KOSDAQ
나노신소재,121600,66800,,-5.25,167396,11182052800.0,KOSDAQ
성광벤드,014620,30800,,-5.38,275556,8487124800.0,KOSDAQ
태광,023160,31500,,-7.49,354081,11153551500.0,KOSDAQ
코나아이,052400,55400,,-3.32,116907,6476647800.0,KOSDAQ
선익시스템,171090,79700,,-5.57,99601,7938199700.0,KOSDAQ
스튜디오드래곤,253450,26450,,0.38,129267,3419112150.0,KOSDAQ
성일하이텍,365340,61000,,-3.63,57442,3503962000.0,KOSDAQ
네패스,033640,33950,,-3.82,333900,11335905000.0,KOSDAQ
샘씨엔에스,252990,12950,,-4.64,977586,12659738700.0,KOSDAQ
유진로봇,056080,20550,,-2.84,419125,8613018750.0,KOSDAQ
다우데이타,032190,20100,,-2.66,120002,2412040200.0,KOSDAQ
엔켐,348370,35100,,-0.71,148360,5207436000.0,KOSDAQ
코스메카코리아,241710,71400,,1.13,91766,6552092400.0,KOSDAQ
서울반도체,046890,12890,,-5.64,834912,10762015680.0,KOSDAQ
앱클론,174900,37550,,-5.53,419276,15743813800.0,KOSDAQ
삼지전자,037460,45300,,-0.44,208637,9451256100.0,KOSDAQ
태웅,044490,36650,,-1.08,188437,6906216050.0,KOSDAQ
