종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시장
삼성전자,005930,317000,,5.84,32804208,10398933936000.0,KOSPI
SK하이닉스,000660,2333000,,1.92,7066332,16485752556000.0,KOSPI
SK스퀘어,402340,1233000,,-0.32,1302407,1605867831000.0,KOSPI
삼성전자우,005935,202500,,6.08,8149162,1650205305000.0,KOSPI
삼성전기,009150,2127000,,15.04,2879085,6123813795000.0,KOSPI
현대차,005380,723000,,6.79,3035317,2194534191000.0,KOSPI
LG에너지솔루션,373220,458000,,3.62,1260652,577378616000.0,KOSPI
삼성생명,032830,388500,,8.67,779530,302847405000.0,KOSPI
HD현대중공업,329180,696000,,-1.14,759344,528503424000.0,KOSPI
삼성물산,028260,432500,,8.26,967719,418538467500.0,KOSPI
현대모비스,012330,768000,,11.95,1948983,1496818944000.0,KOSPI
두산에너빌리티,034020,105600,,-0.28,4493853,474550876800.0,KOSPI
기아,000270,169200,,2.98,2452280,414925776000.0,KOSPI
삼성바이오로직스,207940,1363000,,-0.73,125269,170741647000.0,KOSPI
한화에어로스페이스,012450,1173000,,-2.25,348167,408399891000.0,KOSPI
KB금융,105560,150600,,0.6,1907114,287211368400.0,KOSPI
삼성SDI,006400,688000,,1.78,1983720,1364799360000.0,KOSPI
SK,034730,676000,,1.81,379183,256327708000.0,KOSPI
LG전자,066570,293000,,29.93,9055982,2653402726000.0,KOSPI
신한지주,055550,93600,,0.86,2546906,238390401600.0,KOSPI
셀트리온,068270,192900,,1.53,1016209,196026716100.0,KOSPI
HD현대일렉트릭,267260,1053000,,0.57,256860,270473580000.0,KOSPI
한화오션,042660,123300,,-0.72,1737884,214281097200.0,KOSPI
NAVER,035420,234000,,14.15,7521407,1760009238000.0,KOSPI
LS ELECTRIC,010120,241500,,-2.03,1564916,377927214000.0,KOSPI
LG이노텍,011070,1458000,,28.57,1402708,2045148264000.0,KOSPI
효성중공업,298040,3685000,,0.88,77915,287116775000.0,KOSPI
미래에셋증권,006800,61400,,-0.97,3535536,217081910400.0,KOSPI
POSCO홀딩스,005490,423500,,0.83,704621,298406993500.0,KOSPI
두산,000150,1972000,,18.8,231205,455936260000.0,KOSPI
하나금융지주,086790,115100,,-0.17,1481779,170552762900.0,KOSPI
HD한국조선해양,009540,423000,,1.93,415075,175576725000.0,KOSPI
KODEX 200,069500,134815,,3.71,17383318,2343532016170.0,KOSPI
고려아연,010130,1373000,,0.59,23296,31985408000.0,KOSPI
한미반도체,042700,282000,,-3.59,1560782,440140524000.0,KOSPI
LG화학,051910,367000,,6.53,852879,313006593000.0,KOSPI
현대오토에버,307950,931000,,24.8,1007516,937997396000.0,KOSPI
삼성화재,000810,569000,,1.61,226006,128597414000.0,KOSPI
한국전력,015760,38900,,-0.38,3204199,124643341100.0,KOSPI
삼성중공업,010140,27950,,-1.58,6896894,192768187300.0,KOSPI
삼성에스디에스,018260,299000,,20.32,3835068,1146685332000.0,KOSPI
LG,003550,146600,,26.6,6073217,890333612200.0,KOSPI
HD현대,267250,277500,,0.73,305523,84782632500.0,KOSPI
현대로템,064350,200500,,-2.67,1054054,211337827000.0,KOSPI
포스코퓨처엠,003670,245500,,3.15,611904,150222432000.0,KOSPI
우리금융지주,316140,29700,,-1.16,5057275,150201067500.0,KOSPI
SK텔레콤,017670,100600,,3.82,1920948,193247368800.0,KOSPI
SK이노베이션,096770,119200,,1.88,806022,96077822400.0,KOSPI
한화시스템,272210,105000,,-0.85,1144956,120220380000.0,KOSPI
KT&G,033780,184700,,0.54,609404,112556918800.0,KOSPI
TIGER 미국S&P500,360750,28300,,1.07,9372022,265228222600.0,KOSPI
카카오,035720,41950,,4.61,7343702,308068298900.0,KOSPI
HMM,011200,19560,,-0.25,4653326,91019056560.0,KOSPI
현대글로비스,086280,242500,,4.08,918380,222707150000.0,KOSPI
LIG디펜스앤에어로스페이스,079550,801000,,-6.43,253196,202809996000.0,KOSPI
