종목코드,현재가
005930,261000.0
000660,1857000.0
005935,196100.0
402340,1079000.0
009150,1388000.0
373220,364000.0
005380,365000.0
207940,1398000.0
105560,174900.0
028260,351000.0
032830,283500.0
012450,1078000.0
034020,84900.0
055550,110100.0
329180,460000.0
000270,121900.0
006400,541000.0
068270,179400.0
034730,545000.0
086790,133100.0
012330,379000.0
066570,198400.0
010120,211500.0
035420,197700.0
000810,648000.0
298040,2915000.0
316140,36100.0
267260,725000.0
005490,323000.0
042660,82900.0
069500,109285.0
009540,337500.0
010130,1124000.0
000150,1447000.0
096770,136600.0
042700,236000.0
138040,126900.0
360750,26280.0
015760,30750.0
011200,20800.0
017670,89200.0
051910,267000.0
010140,20800.0
033780,172000.0
006800,31650.0
018260,219500.0
003550,111900.0
010950,149500.0
267250,208000.0
079550,744000.0
003670,183900.0
024110,20050.0
086280,203500.0
272210,80000.0
035720,33550.0
000720,124800.0
278470,367000.0
064350,122500.0
030200,53000.0
047810,129800.0
011070,532000.0
005830,186900.0
133690,181225.0
443060,246000.0
003490,29300.0
078930,113900.0
379800,23885.0
071050,182300.0
006260,325500.0
028050,51800.0
307950,369500.0
102110,109560.0
047050,57300.0
396500,37000.0
003230,1300000.0
323410,20450.0
000500,327000.0
005940,25550.0
379810,27090.0
259960,205000.0
180640,138800.0
488770,105575.0
090430,143400.0
0126Z0,327000.0
047040,18910.0
278530,39555.0
016360,85300.0
007660,103700.0
161390,60600.0
021240,101100.0
352820,165900.0
000880,132500.0
039490,262500.0
459580,1075235.0
064400,70600.0
267270,139800.0
062040,211500.0
128940,503000.0
009830,28400.0
001440,31450.0
326030,77700.0
122630,109265.0
498400,20365.0
005387,171100.0
032640,14050.0
175330,30850.0
381180,42165.0
091160,130545.0
241560,59000.0
000100,75900.0
0167A0,17660.0
000990,126100.0
377300,40250.0
052690,133800.0
353200,103200.0
088350,5860.0
029780,43750.0
004020,36000.0
138930,15600.0
088980,9790.0
229200,13830.0
310970,48780.0
066970,111000.0
