종목코드,현재가,거래대금,시가,고가,저가,거래량
005930,274000.0,5853217000000.0,264000.0,275000.0,263500.0,21530035.0
000660,1868000.0,4798608000000.0,1872000.0,1888000.0,1847000.0,2565611.0
005935,208000.0,833255000000.0,199800.0,209000.0,199600.0,4037038.0
402340,1127000.0,552983000000.0,1087000.0,1137000.0,1080000.0,493710.0
009150,1429000.0,791252000000.0,1432000.0,1443000.0,1396000.0,556739.0
373220,352000.0,108533000000.0,365000.0,365500.0,351500.0,307061.0
005380,359000.0,159766000000.0,365500.0,365500.0,358500.0,443769.0
207940,1402000.0,41616000000.0,1398000.0,1410000.0,1389000.0,29771.0
105560,177500.0,118663000000.0,175000.0,178900.0,174900.0,669875.0
028260,367500.0,112359000000.0,353000.0,369000.0,352500.0,307318.0
032830,291000.0,92438000000.0,287500.0,294500.0,284500.0,317979.0
012450,1067000.0,121609000000.0,1112000.0,1129000.0,1059000.0,112847.0
034020,85300.0,138068000000.0,86800.0,86900.0,84900.0,1614402.0
055550,113100.0,113459000000.0,111100.0,114000.0,110000.0,1005242.0
329180,450500.0,93175000000.0,457500.0,460000.0,445000.0,207128.0
000270,120000.0,94928000000.0,121500.0,121600.0,119100.0,792070.0
006400,533000.0,148967000000.0,546000.0,546000.0,528000.0,279509.0
068270,181400.0,43194000000.0,179500.0,181900.0,178200.0,238816.0
034730,575000.0,55278000000.0,557000.0,580000.0,554000.0,96702.0
086790,135700.0,56301000000.0,134400.0,136000.0,133000.0,416566.0
012330,373000.0,76598000000.0,380500.0,380500.0,370500.0,205302.0
066570,202500.0,96775000000.0,199600.0,203500.0,198000.0,481170.0
010120,209000.0,53572000000.0,209500.0,211500.0,204500.0,257455.0
035420,197900.0,116616000000.0,198400.0,198700.0,196100.0,590874.0
000810,651000.0,30221000000.0,652000.0,658000.0,642000.0,46442.0
298040,2917000.0,78746000000.0,2905000.0,2967000.0,2890000.0,26992.0
316140,36450.0,41413000000.0,36300.0,36650.0,36000.0,1138355.0
069500,111700.0,2119780000000.0,,,,
267260,714000.0,37958000000.0,725000.0,732000.0,712000.0,52914.0
005490,317000.0,59329000000.0,325500.0,327500.0,316000.0,185942.0
042660,81800.0,39076000000.0,83600.0,83700.0,81700.0,476446.0
009540,339000.0,44554000000.0,338500.0,344750.0,334000.0,131849.0
096770,140700.0,77914000000.0,142400.0,145000.0,138000.0,555707.0
010130,1123000.0,9069000000.0,1132000.0,1132000.0,1116000.0,8074.0
000150,1432000.0,114274000000.0,1478000.0,1478000.0,1422000.0,79495.0
042700,236500.0,77422000000.0,237500.0,238500.0,232500.0,327666.0
138040,129900.0,21677000000.0,125200.0,129900.0,125200.0,168056.0
360750,26340.0,679892000000.0,,,,
011200,21100.0,9646000000.0,21000.0,21150.0,20750.0,460242.0
015760,30850.0,23975000000.0,30900.0,31050.0,30600.0,778906.0
017670,87000.0,65208000000.0,88500.0,88500.0,86800.0,746341.0
051910,258500.0,45177000000.0,265500.0,266500.0,257000.0,173566.0
010140,20600.0,43334000000.0,20950.0,20950.0,20400.0,2106153.0
033780,173800.0,29826000000.0,171900.0,174400.0,171800.0,171852.0
018260,224500.0,25521000000.0,219500.0,226500.0,216500.0,114170.0
006800,31950.0,20658000000.0,31700.0,32200.0,31400.0,650883.0
010950,153900.0,51161000000.0,149700.0,155500.0,149000.0,333239.0
003550,111300.0,15089000000.0,111400.0,112100.0,110200.0,135549.0
267250,211000.0,26417000000.0,213000.0,215500.0,205000.0,125633.0
079550,725000.0,95801000000.0,765000.0,780000.0,723000.0,128656.0
024110,20000.0,14598000000.0,20100.0,20200.0,20000.0,727468.0
003670,178100.0,38604000000.0,184000.0,184000.0,177600.0,216276.0
086280,203000.0,31258000000.0,203000.0,204000.0,198900.0,155445.0
035720,33200.0,35563000000.0,33600.0,33600.0,33000.0,1071340.0
272210,76500.0,125645000000.0,82900.0,83000.0,75300.0,1609912.0
000720,125600.0,46990000000.0,126700.0,128100.0,123500.0,373675.0
278470,366000.0,47239000000.0,370500.0,371000.0,358000.0,129385.0
030200,53100.0,11997000000.0,52800.0,53600.0,52600.0,225480.0
064350,118800.0,33631000000.0,124000.0,124400.0,118800.0,280361.0
047810,129600.0,18317000000.0,131500.0,132300.0,129000.0,140768.0
005830,188300.0,17408000000.0,186000.0,189300.0,185500.0,92608.0
011070,519000.0,76455000000.0,533000.0,536000.0,514000.0,147096.0
133690,182540.0,597849000000.0,,,,
003490,28850.0,31634000000.0,29150.0,29300.0,28700.0,1094788.0
078930,113300.0,20462000000.0,113600.0,115100.0,112300.0,180558.0
443060,233500.0,21132000000.0,241000.0,241500.0,230000.0,90608.0
379800,23940.0,384280000000.0,,,,
102110,111945.0,1618043000000.0,,,,
071050,184400.0,18732000000.0,182200.0,184400.0,182100.0,102025.0
028050,52000.0,78664000000.0,52000.0,53200.0,50700.0,1522473.0
396500,38245.0,336298000000.0,,,,
047050,57800.0,32663000000.0,58100.0,58600.0,57000.0,565719.0
006260,322500.0,28331000000.0,325500.0,331000.0,316500.0,88206.0
307950,361000.0,12585000000.0,368500.0,368500.0,360000.0,34781.0
005940,26300.0,14301000000.0,25550.0,26450.0,25400.0,548780.0
379810,27290.0,535374000000.0,,,,
003230,1276000.0,34704000000.0,1291000.0,1302000.0,1275000.0,27046.0
323410,20100.0,13794000000.0,20450.0,20450.0,20050.0,682365.0
000500,318500.0,100438000000.0,324000.0,340500.0,308500.0,314251.0
180640,138500.0,5478000000.0,137900.0,139700.0,136900.0,39597.0
488770,105580.0,58930000000.0,,,,
259960,200000.0,14090000000.0,202500.0,203000.0,198400.0,70401.0
090430,145000.0,28551000000.0,142500.0,147300.0,140200.0,196784.0
0126Z0,327000.0,8585000000.0,331000.0,331500.0,325500.0,26202.0
007660,110300.0,132774000000.0,105000.0,111500.0,104900.0,1216975.0
016360,88200.0,22470000000.0,85600.0,88300.0,85400.0,257053.0
278530,40430.0,28867000000.0,,,,
047040,18290.0,87680000000.0,19050.0,19050.0,18090.0,4763631.0
161390,58600.0,18402000000.0,60100.0,60500.0,57900.0,313649.0
021240,99500.0,15124000000.0,100500.0,102500.0,98600.0,151193.0
352820,162500.0,30716000000.0,166600.0,166600.0,162000.0,188060.0
000880,131300.0,11749000000.0,133100.0,134100.0,127800.0,89941.0
459580,1075330.0,896506000000.0,,,,
039490,264500.0,8169000000.0,262000.0,264500.0,260500.0,31059.0
064400,69500.0,26733000000.0,70500.0,70500.0,69100.0,383749.0
267270,136700.0,24513000000.0,141900.0,141900.0,134900.0,178750.0
128940,505000.0,19795000000.0,507000.0,512000.0,500000.0,39056.0
062040,205000.0,35593000000.0,211500.0,211500.0,201500.0,174153.0
009830,27600.0,43932000000.0,28600.0,28700.0,27300.0,1590238.0
032640,14490.0,19006000000.0,14240.0,14570.0,14210.0,1313202.0
498400,20730.0,125070000000.0,,,,
326030,77600.0,6575000000.0,78300.0,78700.0,77300.0,84482.0
005387,173400.0,22962000000.0,173400.0,174800.0,171000.0,132637.0
122630,114060.0,1658437000000.0,,,,
381180,43450.0,59509000000.0,,,,
091160,135250.0,175617000000.0,,,,
001440,29700.0,106005000000.0,31500.0,31550.0,29700.0,3505659.0
175330,31000.0,8004000000.0,30700.0,31100.0,30400.0,259301.0
000990,131900.0,81497000000.0,125200.0,132500.0,122500.0,634936.0
0167A0,18320.0,200719000000.0,,,,
241560,58100.0,7844000000.0,59400.0,59700.0,58000.0,134101.0
000100,75600.0,13061000000.0,75900.0,76000.0,75200.0,172745.0
377300,39900.0,7943000000.0,40750.0,40800.0,39800.0,197374.0
353200,101900.0,42677000000.0,103700.0,104200.0,101200.0,417705.0
088350,5780.0,13032000000.0,5870.0,5870.0,5730.0,2253203.0
029780,43250.0,4566000000.0,43800.0,43800.0,43150.0,105347.0
052690,129600.0,46015000000.0,133500.0,134600.0,128300.0,351684.0
138930,15750.0,9044000000.0,15590.0,15800.0,15520.0,576695.0
004020,35100.0,21477000000.0,35650.0,35950.0,34900.0,609350.0
088980,9780.0,5247000000.0,9790.0,9820.0,9760.0,535772.0
229200,14045.0,267974000000.0,,,,
310970,49995.0,731000000.0,,,,
148020,112540.0,111811000000.0,,,,
454910,69600.0,12334000000.0,69600.0,70600.0,68300.0,176860.0
051900,299000.0,13765000000.0,293500.0,301000.0,291000.0,46118.0
036570,206500.0,10251000000.0,208500.0,209500.0,204500.0,49563.0
271560,111200.0,7524000000.0,112000.0,112500.0,110500.0,67586.0
066970,107500.0,50031000000.0,110100.0,110100.0,104600.0,468053.0
011790,88000.0,8910000000.0,87800.0,89400.0,86200.0,101041.0
458730,14750.0,25438000000.0,,,,
034220,8520.0,21039000000.0,8400.0,8580.0,8300.0,2477990.0
0162Z0,13900.0,59774000000.0,,,,
001450,49100.0,10964000000.0,47950.0,49350.0,47700.0,225331.0
395160,41650.0,150913000000.0,,,,
082740,49900.0,20306000000.0,51200.0,51200.0,49800.0,404291.0
005385,173700.0,12038000000.0,173900.0,174500.0,171000.0,69656.0
411060,27050.0,15056000000.0,,,,
360200,26640.0,22102000000.0,,,,
002380,465000.0,6573000000.0,465500.0,466500.0,453500.0,14238.0
381170,31755.0,17908000000.0,,,,
001040,128700.0,8567000000.0,127000.0,129900.0,126600.0,66579.0
395270,59450.0,83312000000.0,,,,
423160,110850.0,7704000000.0,,,,
010060,191000.0,77123000000.0,202500.0,202500.0,190800.0,397304.0
367380,31370.0,11054000000.0,,,,
273130,109660.0,1365000000.0,,,,
103590,73000.0,28824000000.0,76600.0,76700.0,72600.0,391751.0
233740,6905.0,271057000000.0,,,,
008930,50800.0,5090000000.0,48550.0,51300.0,48500.0,101630.0
161890,145500.0,21951000000.0,143500.0,146400.0,140000.0,152363.0
018880,3345.0,9045000000.0,3420.0,3440.0,3325.0,2703520.0
357870,58090.0,10676000000.0,,,,
004170,357500.0,15691000000.0,362000.0,364000.0,352000.0,43716.0
102780,26340.0,12334000000.0,,,,
375500,85100.0,20908000000.0,86900.0,87400.0,82700.0,246170.0
036460,35550.0,3106000000.0,35500.0,36100.0,35400.0,87101.0
487240,37095.0,80948000000.0,,,,
012750,83600.0,2130000000.0,82800.0,84600.0,82200.0,25409.0
111770,71400.0,2492000000.0,71600.0,73100.0,71100.0,34609.0
336260,48150.0,39759000000.0,49700.0,49750.0,47500.0,826017.0
006360,36600.0,44561000000.0,37100.0,37600.0,35350.0,1224169.0
192820,275000.0,14343000000.0,270000.0,278000.0,264500.0,52693.0
023530,109500.0,16448000000.0,113300.0,113300.0,108700.0,149292.0
028670,5790.0,5975000000.0,5710.0,5840.0,5660.0,1037002.0
455890,55570.0,6334000000.0,,,,
022100,20350.0,4090000000.0,20900.0,20900.0,20250.0,199804.0
035250,14330.0,2661000000.0,14350.0,14390.0,14250.0,185961.0
0043B0,103720.0,15159000000.0,,,,
011780,119400.0,4995000000.0,120000.0,120000.0,117900.0,41892.0
031210,41450.0,1097000000.0,41700.0,41950.0,41100.0,26389.0
017800,74000.0,3296000000.0,73900.0,74300.0,73100.0,44612.0
007340,49200.0,8158000000.0,49150.0,50600.0,47400.0,167737.0
251270,34550.0,4351000000.0,34550.0,34700.0,33950.0,126503.0
139130,18070.0,3070000000.0,18000.0,18260.0,17910.0,169518.0
302440,35650.0,1881000000.0,35350.0,36050.0,35200.0,52812.0
139260,141200.0,32634000000.0,,,,
004800,163000.0,3042000000.0,160300.0,165500.0,160100.0,18592.0
011170,63600.0,8489000000.0,63100.0,64900.0,62500.0,132882.0
003690,14960.0,1833000000.0,14970.0,15010.0,14780.0,123064.0
472150,20965.0,85704000000.0,,,,
426030,47950.0,25559000000.0,,,,
097950,174600.0,6768000000.0,175000.0,177200.0,174000.0,38605.0
383220,68400.0,3456000000.0,68700.0,69800.0,68000.0,50270.0
085620,19350.0,1450000000.0,19500.0,19790.0,19210.0,74308.0
486290,10625.0,20906000000.0,,,,
481050,1023490.0,33971000000.0,,,,
026960,25400.0,894000000.0,25400.0,25650.0,25200.0,35137.0
0193T0,11955.0,203608000000.0,,,,
278540,39825.0,1607000000.0,,,,
009420,46800.0,7961000000.0,47550.0,47900.0,46300.0,168978.0
004990,24400.0,1388000000.0,24450.0,24600.0,24250.0,56958.0
450080,34250.0,6659000000.0,35200.0,35350.0,34100.0,193782.0
005440,13180.0,6302000000.0,13140.0,13450.0,13000.0,477671.0
004370,394500.0,9553000000.0,389000.0,399000.0,387000.0,24158.0
282330,138700.0,3363000000.0,137600.0,140500.0,136200.0,24212.0
161510,25000.0,12025000000.0,,,,
449170,111930.0,7056000000.0,,,,
489790,46750.0,7574000000.0,47850.0,47900.0,46500.0,161699.0
