종목코드,현재가,거래대금,시가,고가,저가,거래량,NXT거래대금
005930,276500.0,4702602000000.0,283000.0,283500.0,274500.0,16837117.0,2955315000000.0
000660,1840000.0,5642905000000.0,1909000.0,1935000.0,1832000.0,2983489.0,3021349000000.0
005935,211500.0,1051155000000.0,215000.0,216000.0,210000.0,4937699.0,
402340,1133000.0,654920000000.0,1189000.0,1189000.0,1130000.0,567693.0,186544000000.0
009150,1486000.0,1312696000000.0,1491000.0,1548000.0,1464000.0,871039.0,987675000000.0
373220,350500.0,89317000000.0,358000.0,359500.0,348000.0,254457.0,28850000000.0
005380,360500.0,160866000000.0,364000.0,370000.0,360000.0,441745.0,127300000000.0
207940,1391000.0,41040000000.0,1407000.0,1408000.0,1389000.0,29425.0,7706000000.0
105560,175700.0,119026000000.0,177700.0,178500.0,174700.0,677322.0,15777000000.000002
028260,367000.0,95524000000.0,382500.0,385500.0,361000.0,260132.0,49847000000.0
032830,291000.0,62839000000.0,299500.0,304000.0,287000.0,215307.0,20818000000.0
034020,86500.0,244811000000.0,87000.0,88100.0,85200.0,2830270.0,266712000000.0
012450,1057000.0,93970000000.0,1069000.0,1076000.0,1055000.0,88609.0,23602000000.0
055550,113200.0,82381000000.0,114100.0,114300.0,112200.0,729205.0,5804000000.0
329180,455500.0,68166000000.0,453500.0,460000.0,448000.0,150356.0,29420000000.0
000270,118500.0,93094000000.0,120600.0,122000.0,118200.0,778594.0,17181000000.0
034730,588000.0,66138000000.0,590000.0,594000.0,581000.0,112529.0,21379000000.0
006400,529000.0,107235000000.0,539000.0,542000.0,527000.0,201594.0,111743000000.0
068270,178500.0,59213000000.0,181800.0,182200.0,178100.0,330209.0,21139000000.0
086790,136000.0,66404000000.0,136000.0,136500.0,134200.0,490588.0,7844000000.0
066570,216500.0,337338000000.0,211500.0,221000.0,209000.0,1563858.0,326568000000.0
012330,372500.0,99005000000.0,377500.0,384500.0,371000.0,262391.0,46818000000.0
010120,212000.0,90612000000.0,214000.0,218500.0,210000.0,422684.0,104317000000.0
035420,201000.0,97581000000.0,201000.0,203500.0,200000.0,483209.0,101288000000.0
000810,655000.0,48352000000.0,653000.0,657000.0,642000.0,74453.0,2866000000.0
298040,2901000.0,97923000000.0,2949000.0,3009000.0,2901000.0,33154.0,54046000000.0
316140,35750.0,52397000000.0,36600.0,36650.0,35550.0,1462608.0,9662000000.0
069500,111880.0,2757458000000.0,,,,,
267260,714000.0,54667000000.0,729000.0,738000.0,710000.0,75684.0,22779000000.0
005490,317500.0,52325000000.0,320000.0,321500.0,316000.0,164747.0,20150000000.0
042660,81600.0,33603000000.0,82600.0,83000.0,81500.0,410343.0,31873000000.0
009540,339500.0,44762000000.0,341000.0,346000.0,338500.0,131183.0,6815000000.000001
000150,1473000.0,128860000000.0,1475000.0,1513000.0,1452000.0,87028.0,74652000000.0
096770,141000.0,95550000000.0,137800.0,142800.0,136500.0,682298.0,50911000000.0
010130,1110000.0,20592000000.0,1147000.0,1147000.0,1106000.0,18382.0,8912000000.0
042700,240000.0,123207000000.0,243500.0,246500.0,236500.0,509653.0,120426000000.0
138040,128900.0,21772000000.0,130400.0,130700.0,127300.0,169054.0,2433000000.0
360750,26225.0,1008138000000.0,,,,,
011200,21200.0,7606000000.0,21150.0,21250.0,20900.0,360885.0,4251000000.0
015760,30850.0,33681000000.0,30950.0,31200.0,30750.0,1090067.0,17948000000.0
017670,87300.0,67793000000.0,87600.0,89300.0,86500.0,774219.0,57150000000.0
033780,177300.0,62758000000.0,173800.0,177700.0,169800.0,362668.0,11930000000.0
010140,20600.0,32426000000.0,20800.0,20850.0,20550.0,1571464.0,26283000000.0
051910,254000.0,48454000000.0,261000.0,261500.0,253500.0,189376.0,10956000000.0
006800,32850.0,63922000000.0,32650.0,34750.0,32500.0,1910215.0,38710000000.0
003550,116500.0,29285000000.0,113400.0,119200.0,113000.0,251672.0,4029999999.9999995
018260,226000.0,24234000000.0,227500.0,229500.0,223500.0,107121.0,12818000000.0
010950,154300.0,65214000000.0,147400.0,156900.0,147400.0,429734.0,19896000000.0
003670,184200.0,52365000000.0,180100.0,187800.0,177500.0,286308.0,26339000000.0
267250,207000.0,29395000000.0,209000.0,213000.0,205000.0,141172.0,8006999999.999999
024110,20000.0,13546000000.0,20150.0,20150.0,19970.0,676584.0,3357000000.0
079550,704000.0,44429000000.0,728000.0,728000.0,702000.0,62345.0,27693000000.0
086280,203000.0,31078000000.0,204000.0,208500.0,201500.0,152945.0,7708000000.0
035720,34150.0,52384000000.0,33500.0,34600.0,33400.0,1535866.0,
272210,77400.0,32125000000.0,76700.0,79000.0,75600.0,416049.0,26393000000.0
000720,131300.0,130674000000.0,130600.0,136100.0,125700.0,995838.0,118566000000.00002
278470,361500.0,72219000000.0,364500.0,367500.0,358000.0,199393.0,28531000000.0
030200,53100.0,12276000000.0,53200.0,53800.0,52700.0,231102.0,1871000000.0
011070,542000.0,119726000000.0,538000.0,558000.0,536000.0,218585.0,82718000000.0
064350,117100.0,31764000000.0,120000.0,120000.0,117100.0,268431.0,13466000000.0
047810,130300.0,16155000000.0,130200.0,131500.0,129300.0,124149.0,4852000000.0
005830,185900.0,26132000000.0,188200.0,188900.0,182900.0,141594.0,3961000000.0
133690,183340.0,947031000000.0,,,,,
003490,31400.0,208768000000.0,29250.0,31400.0,29150.0,6800624.0,
443060,243000.0,15207000000.0,234500.0,244000.0,231000.0,63729.0,2807000000.0
307950,385000.0,47488000000.0,370000.0,402000.0,370000.0,122439.0,33691000000.000004
