종목명,종목코드,시장,등락률,거래대금,패턴,total_score,checklist_pass,run_time,run_type
SK하이닉스,000660,KOSPI,1.67,8231712000000.0,없음,5,3,2026-04-16 23:24,수동
SK스퀘어,402340,KOSPI,3.76,910513000000.0,없음,5,3,2026-04-16 23:24,수동
삼성전자,005930,KOSPI,3.08,12715656000000.0,없음,4,3,2026-04-16 23:24,수동
삼성전자우,005935,KOSPI,3.04,1195533000000.0,없음,4,3,2026-04-16 23:24,수동
현대차,005380,KOSPI,5.12,1093406000000.0,없음,4,3,2026-04-16 23:24,수동
LG에너지솔루션,373220,KOSPI,1.96,973440000000.0,없음,4,3,2026-04-16 23:24,수동
한화에어로스페이스,012450,KOSPI,0.66,783248000000.0,없음,4,3,2026-04-16 23:24,수동
삼성바이오로직스,207940,KOSPI,0.87,748062000000.0,없음,4,3,2026-04-16 23:24,수동
두산에너빌리티,034020,KOSPI,6.33,709742000000.0,없음,4,3,2026-04-16 23:24,수동
기아,000270,KOSPI,4.22,616462000000.0,없음,4,3,2026-04-16 23:24,수동
