종목명,종목코드,시장,등락률,거래대금,패턴,pattern_type_label,base_candle_offset,base_high_gap_pct,tv_ratio,status_summary,total_score,checklist_pass,in_inter,supply_label,run_time,run_type
필옵틱스,161580,KOSDAQ,29.5,692148820000.0,당일돌파형,당일돌파형,0,,,고가 유지,12,4,True,★쌍매수,2026-05-06 19:20,수동
SKC,011790,KOSPI,30.0,909041530000.0,당일돌파형,당일돌파형,0,,,고가 유지,10,4,True,★외인매수,2026-05-06 19:20,수동
삼성물산,028260,KOSPI,17.34,932988004500.0,당일돌파형,당일돌파형,0,,,고가 유지,12,4,False,쌍매수,2026-05-06 19:20,수동
미래에셋증권,006800,KOSPI,19.2,3887627188000.0,당일돌파형,당일돌파형,0,,,고가 유지,11,4,False,★쌍매수,2026-05-06 19:20,수동
두산퓨얼셀,336260,KOSPI,29.21,671731242500.0,당일돌파형,당일돌파형,0,,,고가 유지,11,4,False,★외인매수,2026-05-06 19:20,수동
대한전선,001440,KOSPI,14.0,2058749962400.0,당일돌파형,당일돌파형,0,,,고가 유지,10,3,False,★쌍매수,2026-05-06 19:20,수동
SK하이닉스,000660,KOSPI,10.64,16971944960000.0,당일돌파형,당일돌파형,0,,,고가 유지,9,3,False,★외인매수,2026-05-06 19:20,수동
한온시스템,018880,KOSPI,11.55,738594407200.0,당일돌파형,당일돌파형,0,,,고가 유지,9,3,False,★쌍매수,2026-05-06 19:20,수동
엑스게이트,356680,KOSDAQ,23.05,570565580280.0,당일돌파형,당일돌파형,0,,,고가 유지,9,4,False,★기관매수,2026-05-06 19:20,수동
유안타증권,003470,KOSPI,29.85,258479810100.0,당일돌파형,당일돌파형,0,,,고가 유지,9,4,False,★기관매수,2026-05-06 19:20,수동
한빛레이저,452190,KOSDAQ,22.52,214821336730.0,당일돌파형,당일돌파형,0,,,고가 유지,9,3,False,★쌍매수,2026-05-06 19:20,수동
삼성전자,005930,KOSPI,14.41,24235913056000.0,당일돌파형,당일돌파형,0,,,고가 유지,8,3,False,★외인매수,2026-05-06 19:20,수동
드림시큐리티,203650,KOSDAQ,29.93,341129088140.0,당일돌파형,당일돌파형,0,,,고가 유지,8,4,False,혼조,2026-05-06 19:20,수동
